ibl,count
0.01,0.6534295236658392
0.02,0.6354409097631408
0.025,0.6355643461438513
0.03,0.6308860943519663
0.04,0.6128399941035152
0.05,0.604092219020173
0.06,0.5903606280215593
0.07,0.5830691362144724
0.075,0.5733556022599231
0.08,0.5685727409550243
0.09,0.5598144846652715
0.1,0.5488286909423223
0.11,0.5294938132733409
0.12,0.5230357277821567
0.125,0.5211151989872617
0.13,0.516012412255596
0.14,0.5020112963218074
0.15,0.4921622599174845
0.16,0.48565192600693563
0.17,0.4759330630495353
0.175,0.47605
0.18,0.46520048520614765
0.19,0.44383948904536297
0.2,0.4497091199452461
0.25,0.405436646827637
0.5,0.24819999137720417
0.75,0.14753059024915993
1.0,0.0887944777646853
1.25,0.051576086956521716
1.5,0.033265195444495466
1.75,0.018399999999999972
2.0,0.012463807874961486
2.5,0.004279440588671579
2.75,0.003934426229508237
3.0,0.0012086724925394199
3.25,0.0010000000000000009
3.5,0.00037370461046082326
4.0,7.946783042889205e-05
4.5,4.547596801796061e-05
5.0,5.737259972904418e-05
5.5,2.5250102262952545e-05
6.0,4.509040626454741e-05
6.5,7.604100130786939e-06
7.0,0.0
7.5,0.0
8.0,0.0
8.5,0.0
9.0,0.0
9.5,0.0
10.0,0.0
10.5,0.0
11.0,0.0
11.5,0.0
12.0,0.0
13.0,0.0
13.5,0.0
14.0,0.0
14.5,0.0
15.0,0.0
15.5,0.0
16.0,0.0
16.5,0.0
17.0,0.0
17.5,0.0
18.0,0.0
18.5,0.0
19.0,0.0
19.5,0.0
20.0,0.0
